tmdb_id,imdb_id,titre,titre_original,langue_originale,date_sortie,synopsis,tagline,duree,budget,revenue,popularite,note_tmdb,nb_votes_tmdb,statut,homepage,poster,backdrop,genres,pays,langues,production
46845,tt0067388,Le Convoi sauvage,Man in the Wilderness,en,1971-11-24,"Au début du XIXème Siècle dans le Nord Ouest de l'Amérique sauvage , un groupe de trappeurs tentant de retourner a la civilisation avec leurs biens avant l'arrivée de l'hiver, voit leur guide Zachary Bass être grièvement blessé par l'attaque d'un grizzli.  Ses blessures jugées fatales par le commandant de l'expédition, ils décident de le laisser derrière eux... agonisant.  Lorsque celui-ci retrouve peu a peu ses forces, il décide de les traquer afin de se venger.  Ce film, ainsi que l'histoire vraie du trappeur Hugh Glass,  ont très nettement inspiré l'oeuvre """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""The Revenant"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" d'Alejandro Gonzales Inarritu sortit en 2015.","",147,0,0,2.0594,6.269,104,Released,"",/8h6lVPvlaH43w5lZxt8HxLNRvOG.jpg,/7AwsicUVwmol6VjhxVwdnAMrLw1.jpg,"Western, Aventure, Drame",US,en,"Limbridge, Wilderness Films, Warner Bros. Pictures"
36685,tt0073629,The Rocky Horror Picture Show,The Rocky Horror Picture Show,en,1975-08-14,"Une nuit d'orage, la voiture de Janet et Brad, un couple coincé qui vient de se fiancer, tombe en panne. Obligés de se réfugier dans un mystérieux château, ils vont faire la rencontre de ses occupants pour le moins bizarres, qui se livrent à de bien étranges expériences.","",100,1400000,171181400,13.4146,7.443,3234,Released,"",/3pyE6ZqDbuJi7zrNzzQzcKTWdmN.jpg,/a53EGF0NzHRGKuRItsrtXBM8FCD.jpg,"Comédie, Science-Fiction, Horreur","GB, US, AN","en, de","20th Century Fox, Lou Adler Productions, Michael White Productions, Houtsnede Maatschappij"
11951,tt0067927,Point limite zéro,Vanishing Point,en,1971-01-15,"Kowalski, un ex-flic vétéran du Vietnam, champion de stock-car, parie qu'il ralliera Denver à San Francisco en moins de quinze heures. Les policiers de Californie et du Nevada ne tardent pas à se mettre à sa poursuite ...",C'est le voyage maximum... à vitesse maximum.,97,1300000,72266306,4.6017,7.085,543,Released,"",/bejjH0iJQwta77qzrHnacENs3Bc.jpg,/sYn05iS9AxV9rsjqBSHrI4azji1.jpg,"Action, Crime, Drame, Thriller",US,en,"Cupid Productions, 20th Century Fox"
1380676,"",Spotlight,Spotlight,en,2016-05-27,"","",6,0,0,1.705,0,0,Released,"",/eTUI0hTlIiSAb0ZSRKW9idCCIVk.jpg,/e5WLKu7GVBu5olgvbtI8N886bHm.jpg,Drame,MY,ms,""
319373,tt4298958,Les délices de Tokyo,あん,ja,2015-05-30,"Les dorayakis sont des pâtisseries traditionnelles japonaises qui se composent de deux pancakes fourrés de pâte de haricots rouges confits, « AN ».  Tokue, une femme de 70 ans, va tenter de convaincre Sentaro, le vendeur de dorayakis, de l’embaucher.  Tokue a le secret d’une pâte exquise et la petite échoppe devient un endroit incontournable...","",113,0,124518,2.6121,7.5,622,Released,"",/oCEOdGiSTAk78fcANEF2DWxbkL0.jpg,/m2YuVWnbZH1pkxbBhNx4BR5F99n.jpg,Drame,"JP, FR, DE",ja,"Comme des Cinémas, Nagoya Broadcasting Network, Twenty Twenty Vision Filmproduktion, Aeon Entertainment, Kumie, POPLAR Publishing, Hakuhodo, Elephant House, The Asahi Shimbun, ZDF/Arte, MAM, MAM FILM"
345775,tt2262345,Tout en haut du monde,Tout en haut du monde,fr,2015-12-10,"1892, Saint-Pétersbourg. Sacha, une jeune fille de l’aristocratie russe, a toujours été fascinée par la vie d’aventure de son grand-père, Oloukine. Explorateur renommé, concepteur du Davaï, son magnifique navire de l’Arctique, il n’est jamais revenu de sa dernière expédition à la conquête du Pôle Nord. Et maintenant son nom est sali et sa famille déshonorée. Pour laver l’honneur de la famille, Sacha s’enfuit. En route vers le Grand Nord, elle suit la piste de son grand-père pour retrouver le fameux navire.","",80,0,0,3.309,7.4,189,Released,"",/eP4np7PtqPUmAaRbmJR48fq4e9S.jpg,/5cJw0kJK6PxLLqsexTCbNL6B1R1.jpg,"Aventure, Animation, Drame, Familial","DK, FR",fr,"Maybe Movies, 2 Minutes, Noerlum Studios, France 3 Cinéma, Sacrebleu Productions"
299687,tt2304933,La 5ème Vague,The 5th Wave,en,2016-01-14,"Quatre vagues d’attaques, chacune plus mortelle que la précédente, ont décimé la presque totalité de la Terre. Terrifiée, se méfiant de tout, Cassie Sullivan est en fuite et tente désespérément de sauver son jeune frère. Alors qu’elle se prépare à affronter la cinquième vague, aussi inévitable que fatale, elle va faire équipe avec un jeune homme qui pourrait bien représenter son dernier espoir – si toutefois elle peut lui faire confiance…",Nous contre-attaquons.,113,38000000,109906372,14.2533,5.947,6151,Released,"",/jsCcg3Uvg8pAdI7pAzW8TIRi39A.jpg,/pXRAVmgcYnXGq6PAF7Hfe5P7QJR.jpg,"Science-Fiction, Aventure, Action",US,en,"LStar Capital, Columbia Pictures, GK Films, Material Pictures"
377853,tt5072542,"Les Premiers, les Derniers","Les Premiers, les Derniers",fr,2016-01-27,"Dans une plaine infinie balayée par le vent, Cochise et Gilou, deux inséparables chasseurs de primes, sont à la recherche d’un téléphone volé au contenu sensible.  Leur chemin va croiser celui d’Esther et Willy, un couple en cavale. Et si c’était la fin du monde ?  Dans cette petite ville perdue où tout le monde échoue, retrouveront-ils ce que la nature humaine a de meilleur ? Ce sont peut-être les derniers hommes, mais ils ne sont pas très différents des premiers.","Ce sont peut-être les derniers hommes, mais ils ne sont pas très différents des premiers.",98,0,0,1.3403,6.47,67,Released,"",/tppfmEYGHzLHD9CyOlZogTzu6rH.jpg,/jJIGZBYWeO0BdDDmncRoWK1Ms0q.jpg,"Drame, Comédie, Crime","BE, FR, CH","fr, en","Rita Productions, Versus Production, ADCB Films, Belgacom"
375897,tt4616292,Encore Heureux,Encore heureux,fr,2016-01-27,"D’accord, Marie est un peu fatiguée de l’insouciance de son mari Sam, cadre sup au chômage depuis 2 ans. D’accord, elle est très tentée de se laisser séduire par ce bel inconnu qui lui fait la cour. D’accord, il y a aussi le concours de piano de sa fille... Si cet équilibre dingue et léger tient à peu près debout, un événement inattendu jette toute la famille sur un chemin encore plus fou.","",93,0,0,1.525,5.519,106,Released,"",/kk68eK0aIyP3m5e2g8PfV7PHCwI.jpg,/vJun9yvlRUiUGEV601WE84sBPKV.jpg,Comédie,FR,fr,Elia Films
321258,tt3882082,The Boy,The Boy,en,2016-01-22,"Pour essayer d’échapper à son passé, Greta, une jeune Américaine, se fait engager comme assistante maternelle en Angleterre, dans une maison perdue en pleine campagne. À son arrivée, elle découvre qu’elle a été embauchée non pas pour s’occuper d’un petit garçon de 8 ans en chair et en os, mais d’une poupée de porcelaine grandeur nature. Seule dans la maison, loin de tout, Greta assiste à des événements tous plus étranges les uns que les autres. La poupée serait-elle vivante ? Il se trouve que Greta n’a pas seulement été engagée, elle a été choisie…",Chaque enfant a besoin de se sentir aimé.,97,10000000,73929392,6.452,5.976,4018,Released,"",/qcL9cF0SpsXg7ioy6gbETEC6RCr.jpg,/mRUW8rmpCS2kH22eihPbbMIbFxU.jpg,"Horreur, Mystère, Thriller",US,en,"Lakeshore Entertainment, Vertigo Entertainment, STXfilms"
