semaine,allocine_id,titre,titre_original,date_sortie,duree,genres,realisateur,scenaristes,cast,synopsis,nationalite,annee_production,distributeur,type_film,langues,budget,boxoffice_france,couleur,visa,note_presse,note_spectateurs,url,annee
2019-08-14,270472,Mission Mangal,"",2019-08-15,2h 30min,"Bollywood, Drame, Historique",Jagan Shakti,"Jagan Shakti, Farhad-Sajid","Akshay Kumar, Vidya Balan, Sonakshi Sinha","Le 05/11/13, l'Inde lance sa première sonde spatiale, surnommée Mangalyann, vers la la planète Mars. La sonde se placera en orbite le 24/09/14. Ce film retrace le parcours de femmes et d'hommes qui, malgré toutes les embûches économiques et politiques, réussiront cette prouesse technique. ",Inde,2019,Night ed films,Long métrage,Hindi,-,895 entrées,Couleur,-,,2.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=270472.html,2019
2019-08-14,275821,Batla House,"",2019-08-15,2h 30min,"Action, Bollywood, Thriller",Nikhil Advani,Ritesh Shah,"John Abraham (II), Mrunal Thakur, Ravi Kishan","Quelques jours après une suite d’explosions, à Delhi, la police indienne lancera un raid contre des terroristes, dans le quartier de BATLA HOUSE. Cette Opération Batla House sera l’une des plus controversées dans l’histoire des Services Secrets de l’Inde…",Inde,2019,Night ed films,Long métrage,Hindi,-,242 entrées,Couleur,-,,3,https://www.allocine.fr/film/fichefilm_gen_cfilm=275821.html,2019
2019-08-14,276241,Comali,"",2019-08-15,2h 20min,Comédie,Pradeep Ranganathan,Pradeep Ranganathan,"Jayam Ravi, Kajal Aggarwal, Samyuktha Hegde","",Inde,2019,Night ed films,Long métrage,Tamoul,-,0 entrées,Couleur,-,,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=276241.html,2019
2019-08-21,264572,Mes autres vies de chien,A Dog's Journey,2019-08-21,1h 48min,"Aventure, Comédie, Drame, Famille",Gail Mancuso,"W. Bruce Cameron, Maya Forbes","Josh Gad, Dennis Quaid, Kathryn Prescott",Un chien observe les êtres humains qui l'entourent pour comprendre le sens de sa propre existence.,"U.S.A., Chine, Inde, Hong-Kong",2019,Universal Pictures International France,Long métrage,Anglais,-,360 entrées,Couleur,151351,,4.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=264572.html,2019
2019-08-21,264597,"Roubaix, une lumière","",2019-08-21,1h 59min,"Drame, Thriller",Arnaud Desplechin,Arnaud Desplechin,"Roschdy Zem, Léa Seydoux, Sara Forestier","À Roubaix, un soir de Noël, Daoud le chef de la police locale et Louis, fraîchement diplômé, font face au meurtre d’une vieille femme. Les voisines de la victime, deux jeunes femmes, Claude et Marie, sont arrêtées. Elles sont toxicomanes, alcooliques, amantes…",France,2019,Le Pacte,Long métrage,Français,-,393 132 entrées,Couleur,149727,3.7,3.6,https://www.allocine.fr/film/fichefilm_gen_cfilm=264597.html,2019
2019-08-21,233292,Scary Stories,Scary Stories to Tell in the Dark,2019-08-21,1h 47min,Epouvante-horreur,André Øvredal,"Kevin Hageman, Dan Hageman","Zoe Margaret Colletti, Michael Garza, Gabriel Rush","Dans un manoir abandonné, un groupe de jeunes trouve un livre qui raconte des histoires terrifiantes. Mais cette trouvaille n’est pas sans conséquence : la lecture du livre permet à ses effroyables créatures de prendre vie… La petite ville va alors faire face à une vague de morts particulièrement atroces, et chacun devra affronter ses pires peurs pour sauver les habitants et arrêter ce carnage.",U.S.A.,2019,Metropolitan FilmExport,Long métrage,Anglais,-,211 107 entrées,Couleur,151305,2.9,2.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=233292.html,2019
2019-08-21,248579,Les Baronnes,The Kitchen,2019-08-21,1h 42min,"Drame, Policier, Thriller",Andrea Berloff,Andrea Berloff,"Melissa McCarthy, Tiffany Haddish, Elisabeth Moss","New York, 1978. Entre ses prêteurs sur gages, ses sex-shops et ses bars clandestins tenus par la pègre irlandaise, Hell's Kitchen a toujours été un quartier difficile. Et mal famé. Mais pour Kathy, Ruby et Claire, épouses de mafieux, la situation est sur le point de basculer. Car lorsque leurs maris sont envoyés en prison par le FBI, elles reprennent en main les affaires familiales, en poursuivant leurs trafics et en éliminant la concurrence … au sens littéral. 

Désormais, ce sont elles qui tiennent le quartier.",U.S.A.,2019,Warner Bros. France,Long métrage,Anglais,-,79 503 entrées,Couleur,151275,3,2.9,https://www.allocine.fr/film/fichefilm_gen_cfilm=248579.html,2019
2019-08-21,251547,Late Night,"",2019-08-21,1h 43min,Comédie,Nisha Ganatra,Mindy Kaling,"Emma Thompson, Mindy Kaling, John Lithgow","Une célèbre présentatrice de « late show » sur le déclin est contrainte d’embaucher une femme d’origine indienne, Molly, au sein de son équipe d’auteurs.

Ces deux femmes que tout oppose, leur culture et leur génération, vont faire des étincelles et revitaliser l’émission.",U.S.A.,2019,ARP Sélection,Long métrage,Anglais,-,116 542 entrées,Couleur,151290,3.4,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=251547.html,2019
2019-08-21,258241,Good Boys,"",2019-08-21,1h 30min,Comédie,Gene Stupnitsky,"Lee Eisenberg, Gene Stupnitsky","Jacob Tremblay, Keith L. Williams, Brady Noon","Après avoir été invités à leur première fête, Max, Thor et Lucas, 12 ans, paniquent complètement parce qu’ils ne savent pas comment embrasser. À la recherche de conseils, Max, flanqué de ses deux inséparables amis, décide d’utiliser le drone de son père – auquel il n’a évidemment pas le droit de toucher – pour espionner la voisine et son petit ami. Mais tout prend une très mauvaise tournure quand le drone est détruit. Désespérés de devoir le remplacer avant le retour du père de Max, les garçons sèchent les cours pour se lancer dans une véritable odyssée, ponctuée par des choix plus catastrophiques les uns que les autres, allant du vol accidentel de drogue, à une partie de paintball désastreuse au milieu d’une fratrie universitaire, tout en tentant d’échapper à la police et à de terrifiantes adolescentes.",U.S.A.,2019,Universal Pictures International France,Long métrage,Anglais,-,123 548 entrées,Couleur,151348,2,2.8,https://www.allocine.fr/film/fichefilm_gen_cfilm=258241.html,2019
2019-08-21,268225,Ma Famille et le Loup,"",2019-08-21,1h 20min,Comédie dramatique,Adriàn Garcia,"Adriàn Garcia, Victor Maldonado","Carmen Maura, Pierre Rochefort, Bruno Salomone","L'été de ses 9 ans, Hugo passe les grandes vacances avec ses cousins chez sa mamie Sara. Quand ils apprennent que le loup va venir la chercher, les enfants se mobilisent pour sauver leur grand-mère et se lancent dans une aventure inoubliable.",France,2018,Apollo Films,Long métrage,Français,-,39 187 entrées,Couleur,131200,3.2,3.1,https://www.allocine.fr/film/fichefilm_gen_cfilm=268225.html,2019
