allocine_id,titre,annee,acteur
51503,Les Razmoket rencontrent les Delajungle,2003,Elizabeth Daily
51503,Les Razmoket rencontrent les Delajungle,2003,Nancy Cartwright
51503,Les Razmoket rencontrent les Delajungle,2003,Cheryl Chase
41233,Le Temps du loup,2003,Isabelle Huppert
41233,Le Temps du loup,2003,Béatrice Dalle
41233,Le Temps du loup,2003,Patrice Chéreau
46642,Supernova expérience # 1,2003,Philippe Nahon
46642,Supernova expérience # 1,2003,Catherine Wilkening
46642,Supernova expérience # 1,2003,Clément Sibony
53189,L'Esprit du vent,2003,Pius Savage
53189,L'Esprit du vent,2003,George Clutesi
53189,L'Esprit du vent,2003,Chief Dan George
52671,American Splendor,2003,Paul Giamatti
52671,American Splendor,2003,Harvey Pekar
52671,American Splendor,2003,Hope Davis
49503,Une souris verte...,2003,Edward Furlong
49503,Une souris verte...,2003,Emilia Fox
49503,Une souris verte...,2003,Elsa Zylberstein
53236,Des rois qui voulaient plus qu'une couronne,2003,Véronique Augereau
53236,Des rois qui voulaient plus qu'une couronne,2003,Jean-Claude Donda
53236,Des rois qui voulaient plus qu'une couronne,2003,Serge Faliu
45765,Attention danger travail,2003,Christophe Coello
45765,Attention danger travail,2003,Stéphane Goxe
41852,Les Jours où je n'existe pas,2003,Antoine Chappey
41852,Les Jours où je n'existe pas,2003,Luís Miguel Cintra
41852,Les Jours où je n'existe pas,2003,Clémentine Baert
44736,L'Ange de goudron,2003,Rabah Naït Oufella
44736,L'Ange de goudron,2003,Catherine Trudeau
44736,L'Ange de goudron,2003,Kenza Abiabdillah
34680,Mystic River,2003,Tim Robbins
34680,Mystic River,2003,Kevin Bacon
34680,Mystic River,2003,Laurence Fishburne
47111,Bad Boys II,2003,Will Smith
47111,Bad Boys II,2003,Martin Lawrence
47111,Bad Boys II,2003,Lucien Jean-Baptiste
51397,Cette femme-là,2003,Josiane Balasko
51397,Cette femme-là,2003,Eric Caravaca
51397,Cette femme-là,2003,Aurélien Recoing
47990,Janis et John,2003,François Cluzet
47990,Janis et John,2003,Marie Trintignant
47990,Janis et John,2003,Christophe Lambert
48914,Evelyn,2003,Pierce Brosnan
48914,Evelyn,2003,Sophie Vavasseur
48914,Evelyn,2003,Marian Quinn
47319,American pie : marions-les !,2003,Jason Biggs
47319,American pie : marions-les !,2003,Alyson Hannigan
47319,American pie : marions-les !,2003,Seann William Scott
44954,Histoire d'un secret,2003,Jean-Jacques Vautier
44954,Histoire d'un secret,2003,Thérèse Vautier
44954,Histoire d'un secret,2003,Isabel Otéro
47798,Un film parlé,2003,Leonor Silveira
47798,Un film parlé,2003,John Malkovich
47798,Un film parlé,2003,Catherine Deneuve
54113,Les Enfants de la colère,2003,Christian Bluemel
54113,Les Enfants de la colère,2003,Aaron Hildebrand
54113,Les Enfants de la colère,2003,Jule Flierl
48231,Tiresia,2003,Laurent Lucas
48231,Tiresia,2003,Clara Choveaux
48231,Tiresia,2003,Thiago Teles
54386,Elefantenherz,2003,Daniel Brühl
54386,Elefantenherz,2003,Manfred Zapatka
54386,Elefantenherz,2003,Jochen Nickel
48382,Tais-toi !,2003,Jean Reno
48382,Tais-toi !,2003,Gérard Depardieu
48382,Tais-toi !,2003,André Dussollier
52588,Elephant,2003,Alex Frost
52588,Elephant,2003,John Robinson (IV)
52588,Elephant,2003,Elias McConnell
41309,Desperado 2 - Il était une fois au Mexique,2003,Mickey Rourke
41309,Desperado 2 - Il était une fois au Mexique,2003,Eva Mendes
41309,Desperado 2 - Il était une fois au Mexique,2003,Danny Trejo
45033,Ecole paternelle,2003,Eddie Murphy
