allocine_id,titre,titre_original,annee,tmdb_id,imdb_id,tmdb_titre,tmdb_titre_original,tmdb_annee,match_score,match_type
28214,Affaires privées,Internal Affairs,1990,11060,tt0099850,Affaires Privées,Internal Affairs,1990,1,excellent
32747,Les 1001 nuits,"",1990,20220,tt0098961,Les 1001 nuits,Les 1001 nuits,1990,1,excellent
5582,Il y a des jours... et des lunes,"",1990,51329,tt0099827,Il y a des jours… et des lunes,Il y a des jours... et des lunes,1990,1,excellent
5583,Drugstore Cowboy,"",1990,476,tt0097240,Drugstore Cowboy,Drugstore Cowboy,1989,0.96,excellent
5581,Aux sources du Nil,Mountains of the Moon,1990,33796,tt0100196,Aux sources du Nil,Mountains of the Moon,1990,1,excellent
4774,Le Rendez-vous des quais,"",1990,,"","","",,,aucun
4782,Sidewalk stories,"",1990,,"","","",,,aucun
37892,Contretemps,"",1990,682159,tt0233480,Contretemps,Contretemps,1990,1,excellent
4093,Ghosts... of the Civil Dead,"",1990,31219,tt0095217,Ghosts... of the Civil Dead,Ghosts... of the Civil Dead,1988,0.9,bon
53573,Blaze,"",1990,22711,tt0096943,Blaze,Blaze,1989,0.96,excellent
5617,Glory,"",1990,9665,tt0097441,Glory,Glory,1989,0.96,excellent
28218,Stanley et Iris,Stanley & Iris,1990,36094,tt0100680,Stanley & Iris,Stanley & Iris,1990,1,excellent
5597,Blue Steel,"",1990,9491,tt0099160,Blue Steel,Blue Steel,1990,1,excellent
5598,Torch Song Trilogy,"",1990,,"","","",,,aucun
60859,Dédé,"",1990,570319,tt0099477,Dédé,Dédé,1990,1,excellent
44029,Jours tranquilles à Clichy,"",1990,76205,tt0099901,Jours tranquilles à Clichy,Jours tranquilles à Clichy,1990,1,excellent
133520,La Passion de Bernadette,"",1990,164103,tt0338330,La Passion de Bernadette,La Passion de Bernadette,1990,1,excellent
3427,Rêves,Yume,1990,12516,tt0100998,Rêves,夢,1990,1,excellent
5655,La Captive du désert,"",1990,198445,tt0099218,La Captive du désert,La Captive du désert,1990,1,excellent
5671,"Chasseur blanc, coeur noir","White Hunter, Black Heart",1990,28761,tt0100928,"Chasseur blanc, cœur noir","White Hunter, Black Heart",1990,1,excellent
5640,"Alouettes, le fil à la patte",Skrivanci na niti,1990,12078,tt0064994,"Alouettes, le fil à la patte",Skřivánci na niti,1990,1,excellent
40052,Harry Plotnick seul contre tous,The Plot against Harry,1990,41943,tt0064820,Harry Plotnick seul contre tous,The Plot Against Harry,1971,0.8,incertain
57090,La Voix de la Lune,La Voce della luna,1990,59050,tt0098606,La Voix de la lune,La voce della luna,1990,1,excellent
5674,Tremors,"",1990,9362,tt0100814,Tremors,Tremors,1990,1,excellent
4355,Nouvelle Vague,"",1990,32691,tt0100274,Nouvelle Vague,Nouvelle Vague,1990,1,excellent
60634,Deux flics à Downtown,Downtown,1990,60778,tt0099460,Deux flics à Downtown,Downtown,1990,1,excellent
33887,Le Dénommé,"",1990,569344,tt0099478,Le Dénommé,Le Dénommé,1990,1,excellent
29580,Miss Missouri,"",1990,354404,tt0097893,Miss Missouri,Miss Missouri,1990,1,excellent
138809,Connemara,"",1990,570312,tt0303863,Connemara,Connemara,1990,1,excellent
59421,Dark Angel,"",1990,19384,tt0099817,Dark Angel,Dark Angel,1990,1,excellent
5768,Tumultes,"",1990,197567,tt0098534,Tumultes,Tumultes,1990,1,excellent
116448,Au bonheur des chiens,C'era un castello con quaranta cani,1990,64951,tt0158537,C'era un castello con 40 cani,C'era un castello con 40 cani,1990,0.901,bon
111959,Passe Passe,Quicker Than the Eye,1990,43795,tt0034012,La Chanson du passé,Penny Serenade,1941,0.506,faible
5796,La Servante écarlate,The Handmaid's Tale,1990,20815,tt0099731,La Servante écarlate,The Handmaid's Tale,1990,1,excellent
81846,Attache-moi !,¡Átame!,1990,2469,tt0101026,Attache-moi !,¡Átame!,1990,1,excellent
5825,La Barrière de chair,Nikutai no mon,1990,,"","","",,,aucun
59169,Touche pas à ma fille,She's Out of Control,1990,47045,tt0098308,Touche pas à ma fille,She's Out of Control,1989,0.96,excellent
32037,Joe contre le volcan,Joe versus the Volcano,1990,2565,tt0099892,Joe Contre le Volcan,Joe Versus the Volcano,1990,1,excellent
29629,Feu sur le candidat,"",1990,570320,tt0099563,Feu sur le candidat,Feu sur le candidat,1990,1,excellent
33934,Contre-Enquête,Q & A,1990,31598,tt0100442,Contre-enquête,Q & A,1990,1,excellent
30263,L'Orchidée sauvage,Wild Orchid,1990,5203,tt0100934,L'Orchidée sauvage,Wild Orchid,1989,0.96,excellent
51928,Délit d'innocence,An innocent man,1990,29185,tt0097579,Délit d'innocence,An Innocent Man,1989,0.96,excellent
184101,Einstein Junior,Young Einstein,1990,10001,tt0096486,Einstein Junior,Young Einstein,1988,0.9,bon
29289,Retour vers le futur III,Back to the Future Part III,1990,196,tt0099088,Retour vers le futur III,Back to the Future Part III,1990,1,excellent
5867,The King of New York,"",1990,9558,tt0099939,The King of New York,King of New York,1990,1,excellent
33265,Maniac Cop 2,"",1990,28090,tt0100107,Maniac Cop 2,Maniac Cop 2,1990,1,excellent
33303,Un Ange de trop,Heart Condition,1990,41817,tt0099750,Un ange de trop,Heart Condition,1990,1,excellent
5918,Le Soleil même la nuit,Il Sole anche di Notte,1990,47223,tt0100650,Il sole anche di notte,Il sole anche di notte,1990,1,excellent
32235,La Nurse,The Guardian,1990,32043,tt0099710,La Nurse,The Guardian,1990,1,excellent
319492,Meurtres en nocturne,Night Game,1990,84071,tt0097971,Meurtres en nocturne,Night Game,1989,0.96,excellent
50479,Double Jeu,Impulse,1990,37131,tt0099832,Double Jeu,Impulse,1990,1,excellent
5900,Full contact,Lionheart,1990,9399,tt0100029,Full Contact,Lionheart,1990,1,excellent
5899,Cry-Baby,"",1990,9768,tt0099329,Cry-Baby,Cry-Baby,1990,1,excellent
5911,Freddy - Chapitre 5 : l'enfant du cauchemar,A Nightmare on Elm Street: The Dream Child,1990,10160,tt0097981,L'Enfant du cauchemar,A Nightmare on Elm Street: The Dream Child,1989,0.96,excellent
39150,48 heures de plus,Another 48 Hrs.,1990,11595,tt0099044,48 heures de plus,Another 48 Hrs.,1990,1,excellent
31673,Bienvenue à bord,"",1990,158556,tt0099132,Bienvenue à bord !,Bienvenue à bord!,1990,1,excellent
27616,"La Liberté, c'est le paradis","Ser, Svobodno eta rai",1990,,"","","",,,aucun
5922,"Gremlins 2, la nouvelle génération",Gremlins 2: The New Batch,1990,928,tt0099700,Gremlins 2 : La Nouvelle Génération,Gremlins 2: The New Batch,1990,1,excellent
28069,Nuit d'été en ville,"",1990,101886,tt0100277,Nuit d'été en ville,Nuit d'été en ville,1990,1,excellent
5951,La Gloire de mon Père,"",1990,12716,tt0099669,La Gloire de mon Père,La Gloire de mon Père,1990,1,excellent
5947,A la poursuite d'Octobre rouge,The Hunt for Red October,1990,1669,tt0099810,À la poursuite d'Octobre Rouge,The Hunt for Red October,1990,1,excellent
5948,Un week-end sur deux,"",1990,213917,tt0100840,Un week-end sur deux,Un week-end sur deux,1990,1,excellent
30626,Trois années,"",1990,533909,tt0098514,Trois années,Trois années,1990,1,excellent
52118,RoboCop 2,"",1990,5549,tt0100502,RoboCop 2,RoboCop 2,1990,1,excellent
5958,Alberto Express,"",1990,106182,tt0099009,Alberto Express,Alberto Express,1990,1,excellent
5923,Daddy Nostalgie,"",1990,121895,tt0099341,Daddy Nostalgie,Daddy Nostalgie,1990,1,excellent
5969,Les Affranchis,Goodfellas,1990,769,tt0099685,Les Affranchis,GoodFellas,1990,1,excellent
30689,Comme un oiseau sur la branche,Bird on a Wire,1990,1727,tt0099141,Comme un oiseau sur la branche,Bird on a Wire,1990,1,excellent
5982,Docteur Petiot,"",1990,39175,tt0099446,Docteur Petiot,Docteur Petiot,1990,1,excellent
28280,Bad Influence,"",1990,24249,tt0099091,Mortelle influence,Bad Influence,1990,1,excellent
37779,Bienvenue au paradis,Come see the paradise,1990,59820,tt0099291,Bienvenue au paradis,Come See the Paradise,1990,1,excellent
99094,Ils vont tous bien !,Stanno tutti bene,1990,45799,tt0100681,Ils vont tous bien !,Stanno tutti bene,1990,1,excellent
5981,Sailor et Lula,Wild at Heart,1990,483,tt0100935,Sailor et Lula,Wild at Heart,1990,1,excellent
7002,"¡Ay, Carmela!","",1990,41806,tt0101025,"¡Ay, Carmela!","¡Ay, Carmela!",1990,1,excellent
6002,Dick Tracy,"",1990,8592,tt0099422,Dick Tracy,Dick Tracy,1990,1,excellent
29626,Le Sixième doigt,"",1990,570338,tt0100629,Le Sixième Doigt,Le Sixième Doigt,1990,1,excellent
